/n/home07/gthomas/projects/grampa
# ASTRAL PRO FULL

grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/19spec/astral-pro-tree//chelicerate-19spec-astral-pro.rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/19spec/astral-pro-tree//loci-rearrange-70.rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa//19spec/astral-pro-bs70-full/ -c 15 -f astral-pro-bs70-full -p 30
# 03.13.2025  16:23:18  Collapsing gene tree groupings                    MUL-tree # 211 / 1187
# 03.13.2025  16:23:23  Collapsing gene tree groupings                    MUL-tree # 241 / 1187
# 03.13.2025  16:23:28  Collapsing gene tree groupings                    MUL-tree # 272 / 1187
# 03.13.2025  16:23:34  Collapsing gene tree groupings                    MUL-tree # 302 / 1187
# 03.13.2025  16:23:39  Collapsing gene tree groupings                    MUL-tree # 332 / 1187
# 03.13.2025  16:23:45  Collapsing gene tree groupings                    MUL-tree # 365 / 1187
# 03.13.2025  16:23:50  Collapsing gene tree groupings                    MUL-tree # 395 / 1187
# 03.13.2025  16:23:55  Collapsing gene tree groupings                    MUL-tree # 425 / 1187
# 03.13.2025  16:24:01  Collapsing gene tree groupings                    MUL-tree # 455 / 1187
# 03.13.2025  16:24:06  Collapsing gene tree groupings                    MUL-tree # 485 / 1187
# 03.13.2025  16:24:12  Collapsing gene tree groupings                    MUL-tree # 514 / 1187
# 03.13.2025  16:24:17  Collapsing gene tree groupings                    MUL-tree # 544 / 1187
# 03.13.2025  16:24:22  Collapsing gene tree groupings                    MUL-tree # 573 / 1187
# 03.13.2025  16:24:27  Collapsing gene tree groupings                    MUL-tree # 603 / 1187
# 03.13.2025  16:24:33  Collapsing gene tree groupings                    MUL-tree # 633 / 1187
# 03.13.2025  16:24:38  Collapsing gene tree groupings                    MUL-tree # 662 / 1187
# 03.13.2025  16:24:43  Collapsing gene tree groupings                    MUL-tree # 692 / 1187
# 03.13.2025  16:24:48  Collapsing gene tree groupings                    MUL-tree # 722 / 1187
# 03.13.2025  16:24:54  Collapsing gene tree groupings                    MUL-tree # 751 / 1187
# 03.13.2025  16:25:00  Collapsing gene tree groupings                    MUL-tree # 781 / 1187
# 03.13.2025  16:25:06  Collapsing gene tree groupings                    MUL-tree # 811 / 1187
# 03.13.2025  16:25:12  Collapsing gene tree groupings                    MUL-tree # 841 / 1187
# 03.13.2025  16:25:18  Collapsing gene tree groupings                    MUL-tree # 867 / 1187
# 03.13.2025  16:25:24  Collapsing gene tree groupings                    MUL-tree # 898 / 1187
# 03.13.2025  16:25:31  Collapsing gene tree groupings                    MUL-tree # 928 / 1187
# 03.13.2025  16:25:36  Collapsing gene tree groupings                    MUL-tree # 958 / 1187
# 03.13.2025  16:25:42  Collapsing gene tree groupings                    MUL-tree # 989 / 1187
# 03.13.2025  16:25:47  Collapsing gene tree groupings                    MUL-tree # 1019 / 1187
# 03.13.2025  16:25:53  Collapsing gene tree groupings                    MUL-tree # 1049 / 1187
# 03.13.2025  16:26:00  Collapsing gene tree groupings                    MUL-tree # 1079 / 1187
# 03.13.2025  16:26:08  Collapsing gene tree groupings                    MUL-tree # 1109 / 1187
# 03.13.2025  16:26:16  Collapsing gene tree groupings                    MUL-tree # 1139 / 1187
# 03.13.2025  16:26:25  Collapsing gene tree groupings                    MUL-tree # 1169 / 1187
# 03.13.2025  16:27:27  Reconciliation                                    MUL-tree # 11 / 1187
# 03.13.2025  16:27:51  Reconciliation                                    MUL-tree # 40 / 1187
# 03.13.2025  16:27:59  Reconciliation                                    MUL-tree # 62 / 1187
# 03.13.2025  16:28:07  Reconciliation                                    MUL-tree # 88 / 1187
# 03.13.2025  16:28:12  Reconciliation                                    MUL-tree # 111 / 1187
# 03.13.2025  16:28:17  Reconciliation                                    MUL-tree # 141 / 1187
# 03.13.2025  16:28:42  Reconciliation                                    MUL-tree # 169 / 1187
# 03.13.2025  16:28:47  Reconciliation                                    MUL-tree # 188 / 1187
# 03.13.2025  16:28:57  Reconciliation                                    MUL-tree # 208 / 1187
# 03.13.2025  16:29:07  Reconciliation                                    MUL-tree # 242 / 1187
# 03.13.2025  16:29:13  Reconciliation                                    MUL-tree # 270 / 1187
# 03.13.2025  16:29:32  Reconciliation                                    MUL-tree # 299 / 1187
# 03.13.2025  16:29:37  Reconciliation                                    MUL-tree # 320 / 1187
# 03.13.2025  16:29:41  Reconciliation                                    MUL-tree # 338 / 1187
# 03.13.2025  16:29:49  Reconciliation                                    MUL-tree # 357 / 1187
# 03.13.2025  16:29:57  Reconciliation                                    MUL-tree # 389 / 1187
# 03.13.2025  16:30:02  Reconciliation                                    MUL-tree # 415 / 1187
# 03.13.2025  16:30:24  Reconciliation                                    MUL-tree # 443 / 1187
# 03.13.2025  16:30:47  Reconciliation                                    MUL-tree # 495 / 1187
# 03.13.2025  16:30:55  Reconciliation                                    MUL-tree # 537 / 1187
# 03.13.2025  16:31:11  Reconciliation                                    MUL-tree # 549 / 1187
# 03.13.2025  16:31:28  Reconciliation                                    MUL-tree # 620 / 1187
# 03.13.2025  16:31:34  Reconciliation                                    MUL-tree # 645 / 1187
# 03.13.2025  16:31:39  Reconciliation                                    MUL-tree # 671 / 1187
# 03.13.2025  16:31:49  Reconciliation                                    MUL-tree # 699 / 1187
# 03.13.2025  16:31:59  Reconciliation                                    MUL-tree # 727 / 1187
# 03.13.2025  16:32:08  Reconciliation                                    MUL-tree # 758 / 1187
# 03.13.2025  16:32:16  Reconciliation                                    MUL-tree # 786 / 1187
# 03.13.2025  16:32:23  Reconciliation                                    MUL-tree # 815 / 1187
# 03.13.2025  16:33:03  Reconciliation                                    MUL-tree # 848 / 1187
# 03.13.2025  16:33:09  Reconciliation                                    MUL-tree # 877 / 1187
# 03.13.2025  16:36:10  Reconciliation                                    MUL-tree # 904 / 1187
# 03.13.2025  16:39:07  Reconciliation                                    MUL-tree # 1152 / 1187
# 03.13.2025  16:22:43  Collapsing gene tree groupings                    MUL-tree # 15 / 1187
# 03.13.2025  16:22:48  Collapsing gene tree groupings                    MUL-tree # 45 / 1187
# 03.13.2025  16:22:54  Collapsing gene tree groupings                    MUL-tree # 75 / 1187
# 03.13.2025  16:22:58  Collapsing gene tree groupings                    MUL-tree # 102 / 1187
# 03.13.2025  16:23:04  Collapsing gene tree groupings                    MUL-tree # 132 / 1187
# 03.13.2025  16:23:09  Collapsing gene tree groupings                    MUL-tree # 162 / 1187
# 03.13.2025  16:23:14  Collapsing gene tree groupings                    MUL-tree # 192 / 1187
# 03.13.2025  16:23:20  Collapsing gene tree groupings                    MUL-tree # 222 / 1187
# 03.13.2025  16:23:25  Collapsing gene tree groupings                    MUL-tree # 255 / 1187
# 03.13.2025  16:23:31  Collapsing gene tree groupings                    MUL-tree # 285 / 1187
# 03.13.2025  16:23:36  Collapsing gene tree groupings                    MUL-tree # 314 / 1187
# 03.13.2025  16:23:41  Collapsing gene tree groupings                    MUL-tree # 344 / 1187
# 03.13.2025  16:23:46  Collapsing gene tree groupings                    MUL-tree # 374 / 1187
# 03.13.2025  16:23:52  Collapsing gene tree groupings                    MUL-tree # 403 / 1187
# 03.13.2025  16:23:57  Collapsing gene tree groupings                    MUL-tree # 433 / 1187
# 03.13.2025  16:24:02  Collapsing gene tree groupings                    MUL-tree # 463 / 1187
# 03.13.2025  16:24:08  Collapsing gene tree groupings                    MUL-tree # 494 / 1187
# 03.13.2025  16:24:13  Collapsing gene tree groupings                    MUL-tree # 524 / 1187
# 03.13.2025  16:24:19  Collapsing gene tree groupings                    MUL-tree # 554 / 1187
# 03.13.2025  16:24:24  Collapsing gene tree groupings                    MUL-tree # 587 / 1187
# 03.13.2025  16:24:30  Collapsing gene tree groupings                    MUL-tree # 617 / 1187
# 03.13.2025  16:24:35  Collapsing gene tree groupings                    MUL-tree # 647 / 1187
# 03.13.2025  16:24:40  Collapsing gene tree groupings                    MUL-tree # 677 / 1187
# 03.13.2025  16:24:46  Collapsing gene tree groupings                    MUL-tree # 707 / 1187
# 03.13.2025  16:24:52  Collapsing gene tree groupings                    MUL-tree # 737 / 1187
# 03.13.2025  16:24:58  Collapsing gene tree groupings                    MUL-tree # 770 / 1187
# 03.13.2025  16:25:04  Collapsing gene tree groupings                    MUL-tree # 800 / 1187
# 03.13.2025  16:25:10  Collapsing gene tree groupings                    MUL-tree # 830 / 1187
# 03.13.2025  16:25:17  Collapsing gene tree groupings                    MUL-tree # 860 / 1187
# 03.13.2025  16:25:22  Collapsing gene tree groupings                    MUL-tree # 890 / 1187
# 03.13.2025  16:25:29  Collapsing gene tree groupings                    MUL-tree # 922 / 1187
# 03.13.2025  16:25:35  Collapsing gene tree groupings                    MUL-tree # 953 / 1187
# 03.13.2025  16:25:41  Collapsing gene tree groupings                    MUL-tree # 983 / 1187
# 03.13.2025  16:25:46  Collapsing gene tree groupings                    MUL-tree # 1013 / 1187
# 03.13.2025  16:25:52  Collapsing gene tree groupings                    MUL-tree # 1041 / 1187
# 03.13.2025  16:25:58  Collapsing gene tree groupings                    MUL-tree # 1071 / 1187
# 03.13.2025  16:26:06  Collapsing gene tree groupings                    MUL-tree # 1101 / 1187
# 03.13.2025  16:26:14  Collapsing gene tree groupings                    MUL-tree # 1131 / 1187
# 03.13.2025  16:26:23  Collapsing gene tree groupings                    MUL-tree # 1161 / 1187
# 03.13.2025  16:27:26  Reconciliation                                    MUL-tree # 3 / 1187
# 03.13.2025  16:27:50  Reconciliation                                    MUL-tree # 34 / 1187
# 03.13.2025  16:28:15  Reconciliation                                    MUL-tree # 131 / 1187
# 03.13.2025  16:28:41  Reconciliation                                    MUL-tree # 163 / 1187
# 03.13.2025  16:28:46  Reconciliation                                    MUL-tree # 184 / 1187
# 03.13.2025  16:28:51  Reconciliation                                    MUL-tree # 206 / 1187
# 03.13.2025  16:29:01  Reconciliation                                    MUL-tree # 224 / 1187
# 03.13.2025  16:29:06  Reconciliation                                    MUL-tree # 237 / 1187
# 03.13.2025  16:29:11  Reconciliation                                    MUL-tree # 263 / 1187
# 03.13.2025  16:29:31  Reconciliation                                    MUL-tree # 294 / 1187
# 03.13.2025  16:29:52  Reconciliation                                    MUL-tree # 370 / 1187
# 03.13.2025  16:30:00  Reconciliation                                    MUL-tree # 405 / 1187
# 03.13.2025  16:30:05  Reconciliation                                    MUL-tree # 432 / 1187
# 03.13.2025  16:30:26  Reconciliation                                    MUL-tree # 447 / 1187
